,price,area,status,bhk,bathroom,location
0,82.0,960,Ready to move,2,2.0,Adambakam
1,77.8,890,Ready to move,2,2.0,Adambakam
2,82.0,1000,Ready to move,2,2.0,Adambakam
3,87.0,1015,Under Construction,2,2.0,Adambakam
4,78.0,954,Ready to move,2,2.0,Adambakam
5,42.0,509,Ready to move,1,1.0,Adambakam
6,261.0,1548,Ready to move,3,2.0,Adyar
7,278.0,1652,Ready to move,3,2.0,Adyar
8,274.0,1627,Ready to move,3,2.0,Adyar
9,210.0,1381,Under Construction,3,3.0,Adyar
10,325.0,2411,Ready to move,4,4.0,Adyar
11,520.0,4000,Ready to move,4,3.0,Adyar
12,230.0,1755,Under Construction,3,3.0,Adyar
13,321.0,2380,Ready to move,3,3.0,Adyar
14,75.0,1655,Ready to move,3,3.0,Agaramthen
15,100.0,2100,Ready to move,3,3.0,Agaramthen
16,95.0,2000,Ready to move,3,3.0,Agaramthen
17,90.0,1900,Ready to move,3,3.0,Agaramthen
18,85.0,1800,Ready to move,3,3.0,Agaramthen
19,80.0,1700,Ready to move,3,3.0,Agaramthen
20,63.62,823,Under Construction,2,2.0,Alandur
21,63.62,823,Under Construction,2,2.0,Alandur
22,64.9,823,Under Construction,2,2.0,Alandur
23,517.0,2348,Ready to move,3,2.0,Alwarpet
24,545.0,2476,Ready to move,3,2.0,Alwarpet
25,612.0,2781,Ready to move,4,2.0,Alwarpet
26,597.0,2713,Ready to move,4,2.0,Alwarpet
27,481.0,2291,Ready to move,3,3.0,Alwarpet
28,417.0,1989,Ready to move,3,3.0,Alwarpet
29,903.0,4302,Ready to move,4,2.0,Alwarpet
30,903.0,4302,Ready to move,4,2.0,Alwarpet
31,416.0,2315,Under Construction,3,3.0,Alwarpet
32,323.0,1850,Under Construction,3,3.0,Alwarpet
33,49.0,1028,Ready to move,2,2.0,Ambattur
34,67.0,1195,Ready to move,3,2.0,Ambattur
35,33.0,601,Ready to move,1,2.0,Ambattur
36,79.0,1440,Under Construction,3,3.0,Ambattur
37,40.44,834,Under Construction,2,2.0,Ambattur
38,59.17,1220,Under Construction,2,2.0,Ambattur
39,59.17,1220,Under Construction,2,2.0,Ambattur
40,37.34,770,Under Construction,2,2.0,Ambattur
41,37.35,770,Under Construction,2,2.0,Ambattur
42,40.44,834,Under Construction,2,2.0,Ambattur
43,42.19,870,Under Construction,2,2.0,Ambattur
44,37.34,770,Under Construction,2,2.0,Ambattur
45,41.12,848,Under Construction,2,2.0,Ambattur
46,37.34,770,Under Construction,2,2.0,Ambattur
47,80.0,1527,Ready to move,3,2.0,Ambattur
48,53.0,1012,Ready to move,2,2.0,Ambattur
49,42.19,870,Under Construction,2,2.0,Ambattur
50,37.34,770,Under Construction,2,2.0,Ambattur
51,42.19,870,Under Construction,2,2.0,Ambattur
52,37.34,770,Under Construction,2,2.0,Ambattur
53,42.19,870,Under Construction,2,2.0,Ambattur
54,37.34,770,Under Construction,2,2.0,Ambattur
55,40.44,834,Under Construction,2,2.0,Ambattur
56,41.12,848,Under Construction,2,2.0,Ambattur
57,42.19,870,Under Construction,2,2.0,Ambattur
58,37.34,770,Under Construction,2,2.0,Ambattur
59,40.44,834,Under Construction,2,2.0,Ambattur
60,42.19,870,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
61,42.19,870,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
62,40.44,834,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
63,41.12,848,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
64,42.19,870,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
65,40.44,834,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
66,41.12,848,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
67,40.44,834,Under Construction,2,2.0,Ambattur INDUSTRIAL ESTATE
68,225.0,1950,Ready to move,3,3.0,Aminjikarai
69,165.0,1344,Ready to move,2,2.0,Aminjikarai
70,165.0,1344,Ready to move,2,2.0,Aminjikarai
71,23.13,503,Under Construction,1,2.0,Anakaputhur
72,41.63,905,Under Construction,3,2.0,Anakaputhur
73,32.75,712,Under Construction,2,2.0,Anakaputhur
74,32.2,700,Under Construction,2,2.0,Anakaputhur
75,20.56,447,Under Construction,1,2.0,Anakaputhur
76,240.0,1500,Ready to move,3,3.0,Anna Nagar
77,224.0,1450,Under Construction,3,2.0,Anna Nagar
78,240.0,1500,Under Construction,3,2.0,Anna Nagar
79,158.0,1025,Under Construction,2,2.0,Anna Nagar
80,242.0,1565,Ready to move,3,2.0,Anna Nagar
81,240.0,1500,Under Construction,3,2.0,Anna Nagar
82,240.0,1500,Under Construction,3,2.0,Anna Nagar
83,240.0,1500,Under Construction,3,2.0,Anna Nagar
84,191.0,1235,Under Construction,3,2.0,Anna Nagar
85,221.0,1250,Under Construction,3,2.0,Anna Nagar
86,266.0,1540,Under Construction,3,2.0,Anna Nagar
87,264.0,1500,Under Construction,3,3.0,Anna Nagar
88,220.0,1500,Ready to move,3,2.0,Anna Nagar
89,230.0,1590,Ready to move,3,3.0,Anna Nagar
90,320.0,2130,Ready to move,3,3.0,Anna Nagar
91,205.0,1283,Ready to move,3,3.0,Anna Nagar
92,492.0,2889,Ready to move,3,3.0,Anna Nagar East
93,150.0,1350,Ready to move,3,3.0,Anna Nagar East
94,60.0,1386,Ready to move,3,3.0,Avadi
95,58.43,1113,Under Construction,2,2.0,Ayanambakkam
96,54.96,1047,Under Construction,2,2.0,Ayanambakkam
97,58.43,1113,Under Construction,2,2.0,Ayanambakkam
